City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Pune,UberAuto,COMPLETED,2022-04-25 08:57:35 +0000 UTC,2022-04-25 09:02:35 +0000 UTC,18.541298,73.727295,"Symbiosis International University Near Lupin Research Park, Gram: Lavale, Tal:, Mulshi, Maharashtra 412115, India",2022-04-25 09:19:05 +0000 UTC,18.552439,73.76978,"Yash Orchid, Yash Orchid Private Road, Mohan Nagar Co-Op Society, Baner, Pune, Maharashtra 411045, India",4.09,95.4,INR
Pune,UberAuto,CANCELED,2022-04-25 04:52:14 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-22 12:58:17 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-22 12:51:20 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-22 12:46:59 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-22 09:23:26 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,DRIVER_CANCELED,2022-04-22 09:18:49 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.573112,73.76585,"SILVER JUBILEE BOYS HOSTEL, NICMAR, GS MOZE COLLEGE OF ENGINEERING, रॅम नगर, बाणेर, पुणे, महाराष्ट्र 411045, India",1970-01-01 00:00:00 +0000 UTC,18.57311165332794,73.76584827899933,"SILVER JUBILEE BOYS HOSTEL, NICMAR, GS MOZE COLLEGE OF ENGINEERING, रॅम नगर, बाणेर, पुणे, महाराष्ट्र 411045, India",0.00,0,INR
Pune,,UNFULFILLED,2022-04-22 08:08:53 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-22 08:03:54 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-22 07:39:44 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-22 07:34:45 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2022-04-21 13:32:02 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2022-04-21 13:29:42 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-21 13:25:56 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-21 12:09:17 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2022-04-18 04:52:59 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2022-04-18 04:49:30 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-18 04:44:14 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2022-04-18 04:40:03 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,COMPLETED,2022-04-18 04:05:38 +0000 UTC,2022-04-18 04:16:20 +0000 UTC,18.552444,73.76981,"Yash Orchid Private Road, Mohan Nagar Co-Op Society, Baner, Pune, Maharashtra 411021, India",2022-04-18 04:20:51 +0000 UTC,18.544668,73.78042,"Pashan, Pune, Maharashtra 411021, India",1.03,28.65,INR
Pune,,UNFULFILLED,2022-04-17 05:43:29 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,DRIVER_CANCELED,2022-04-17 05:38:47 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.559036,73.77651,"Shop No 1, KASTURI LEGACY, Baner, Pune, Maharashtra 411045, India",1970-01-01 00:00:00 +0000 UTC,18.55870676040649,73.77710235118866,"Pan Card Club Road, Near raghunana kalamkar chowk, opp. West port company, Baner, Pune, Maharashtra 411045, India",0.00,0,INR
Pune,UberAuto,CANCELED,2022-04-17 05:34:33 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.555437,73.77113,"35/6-1, Baner, Pune, Maharashtra 411045, India",1970-01-01 00:00:00 +0000 UTC,18.553307056427,73.77177298069,"35/6-53, Mumbai Pune Bypass Rd, Baner, Pune, Maharashtra 411045, India",0.00,0,INR
Pune,,UNFULFILLED,2022-04-17 05:29:56 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberGo,CANCELED,2022-04-16 13:37:35 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.549742,73.81778,"83/69, Sakal Nagar, Pune University, Pune, Maharashtra 411007, India",1970-01-01 00:00:00 +0000 UTC,18.54847872257233,73.81810891628265,"83/41, Sakal Nagar, Pune University, Pune, Maharashtra 411007, India",0.00,0,INR
Pune,UberGo,CANCELED,2022-04-16 13:34:54 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
